,WRP
317,0.08498459937185493
318,0.029143679225632768
319,-0.01933571220903496
320,0.0031238659996034035
321,-0.017134298201764542
322,0.0630424742704675
323,0.07799593622369388
324,-0.01798949218920476
325,0.020748292076011254
326,0.08370279723907281
327,0.06653678787422329
328,-0.04737385485463613
329,-0.024036604782403437
330,0.0005000425256169172
331,-0.08370398532446632
332,0.12753623188405794
333,-0.012094020520652449
334,0.075015006641097
335,0.04080649488973637
336,-0.029573085384821063
337,0.0499056549238463
338,0.03345444201085179
339,-0.0282860139020204
340,0.12099832246741632
341,-0.033506674369170486
342,0.04548587702456669
343,0.05355394925658946
344,-0.05459585404251088
345,-0.10910790715457586
346,-0.08854587089399052
347,0.0591384925045354
348,0.05417571221118245
349,0.03935817107330691
350,0.06461950310043657
351,
352,0.03667010581104457
353,
354,0.08288106909430437
355,0.04269565715944995
356,0.02529839173621995
357,-0.04539407408236307
358,
359,-0.04161699793128926
360,0.09043848308554192
361,-0.052509094255280664
362,0.04780976746531468
363,0.0696207027732279
364,
365,
366,0.06979710069660483
367,
368,0.06243313759018121
369,-0.08234615637576537
370,-0.011455698945507908
371,0.028937728937728946
372,-0.13763566877885547
373,-0.005546638596910403
374,-0.013521763465027758
375,0.03179071557876001
376,0.03390514789516902
377,-0.00577612196326055
378,-0.0007045892653880781
379,-0.06713610701991635
380,-0.015555072968033934
381,0.07998080643949151
382,0.16479894869725376
383,0.04137166364842798
384,0.0654440154440154
385,-0.03652857322214159
386,-0.007630367908518398
387,0.02320384735446912
388,0.006996245009882773
389,-0.013544569467946355
390,
391,0.060699820375462954
392,-0.04549703931744031
393,-0.02212104062902731
394,
395,-0.11249555870569405
396,0.05944447484995152
397,-0.05282738095238093
398,0.07347431961891498
399,
400,0.028029414544735065
401,0.01305033749915846
402,-0.11406431919687088
403,-0.028015001600426304
404,-0.014730905021365592
405,0.012828703083793691
406,-0.0613290345227
407,0.0628946161832129
408,0.026299151272570098
409,0.1875492513790386
410,0.04307344302168181
411,-0.04033964823772129
412,0.010361990220966844
413,-0.028355911423321722
414,0.008360422600122874
415,0.08368404412520791
416,-0.04122567739589017
417,-0.08425052992211379
418,-0.020303388878506856
419,0.29224030037546933
420,-0.02013190753834121
421,-0.10188513037350244
422,0.003134240786519915
423,-0.010202296196504979
424,-0.08719851934591522
425,-0.02739064544688552
426,-0.00902582784451783
427,0.006180083102143907
428,
429,0.04211155535285793
430,
431,0.03232038248426178
432,-0.017661547543581235
433,0.021392650341922503
434,0.033544379139161085
435,0.017718557351143915
436,-0.029321553619176766
437,0.02800768464721015
438,-0.030573074492377894
439,-0.0774861445616492
440,-0.09224055162782574
441,-0.098888766876645
442,0.03083126143596321
443,0.026045786133847615
444,0.0593069301872744
445,-0.07812361583303407
446,0.0008624419612935919
447,0.0334008293750101
448,
449,0.08451979965577067
450,-0.006981876541566012
451,
452,
453,0.005546638596910403
454,-0.01033017637246264
455,0.027182948850429545
456,0.049077311577311655
457,0.024562695703957083
458,0.007408356943147232
459,
460,-0.06035708881816937
461,0.0815270428767445
462,0.03404042901393334
463,-0.005725842798104119
464,0.03700904004840422
465,-0.10571835554326425
466,-0.032269037363615694
467,0.03390514789516902
468,-0.02759721194224979
469,0.10352041452684735
470,0.037258174922430554
471,0.05281649480710471
472,0.04950848507251926
473,-0.03174900571547257
474,0.025596312030893742
475,0.020747793054344377
476,0.005328399348226598
477,0.12981904012588508
478,-0.01835225200213264
479,
480,0.013277665879009304
481,0.10966015982598037
482,-0.059102105382915215
483,-0.04447912443163582
484,-0.021762269926643762
485,-0.014859354250320533
486,0.013579374944746536
487,0.03954226747223766
488,0.018774533356334555
489,0.20876623376623382
490,0.017037118046753397
491,0.006591337099811745
492,0.07998080643949151
493,-0.05231062648566481
494,-0.009726534109618101
495,0.07090424780959614
496,0.021247806515582335
497,0.1875492513790386
498,-0.0417772175479047
499,0.06802247593097599
500,-0.030041826529177085
501,0.027390645446885464
502,-0.02013190753834121
503,0.021176470588235297
504,
505,-0.03426005945826838
506,0.06391524230021661
507,-0.149967160630262
508,
509,0.16575342465753423
510,-0.07142857142857145
511,0.01745321120946297
512,
513,-0.042971515408467165
514,
515,0.016473182448839996
516,0.10804236719715699
517,0.0006987054098769874
518,
