,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
1141,-10.0,166.0,0.11252208135136943,-0.07867186649332714,0.06890319147016127,0.011842576670455407,0.030279699145235595,-0.0245223402555923,-1.0,-0.1555555645483647,-0.1018496250537406,0.005394684680399053,0.01822832877002406,0.042122275815691,1,Albert Ramos,Peter Gojowczyk
1142,-10.0,101.0,0.06884284733038026,-0.02745367674535637,-0.0031652663803694026,0.008660378992461859,-0.05234473470475037,-0.0369227809216266,1.0,0.13031716761939885,-0.019791694107109903,-0.006031746031746055,-0.029844931618391024,-0.043684355712288514,1,Ryan Harrison,Guillermo Garcia Lopez
1143,-70.0,1041.0,0.06885756636816842,0.11916835478037191,0.10775171854632126,0.12464205663603523,-0.04325674773533772,-0.00011604960941691278,-1.0,0.5222429402382962,0.04594297314885551,0.5416666666666666,0.016110347904290112,0.0813853089006975,1,Milos Raonic,Nicolas Kicker
1144,-15.0,200.0,0.02587018413922937,-0.05449105415860733,0.15823117547255483,0.04028906644625074,0.036559549192811486,0.0,-1.0,0.15725186649099693,0.10526460254721123,-0.25,0.03108306449567838,0.0768486156390622,1,Denis Shapovalov,Tennys Sandgren
1145,-32.0,975.0,0.07917256511549309,0.01673377458891634,0.05617236200388426,0.05147100644794966,-0.004717671688759806,-0.0249249675631672,1.0,0.059118468407290126,-0.08122692339890308,0.022310648752956408,0.009415205474828353,0.04675333475918986,0,Lucas Pouille,Benoit Paire
1146,-8.0,385.0,0.07359231458486992,0.059346358256751386,-0.02582325954238207,0.04083805720170641,0.015717475596283725,0.0034520450364400324,-1.0,0.05772999161418678,-0.03125308985615709,0.03626651126651126,0.028060461014742494,0.05655553279799014,1,Novak Djokovic,Kei Nishikori
1147,-29.0,738.0,-0.011633759852655357,0.0403498619772642,0.04150791599965009,0.033561718544056984,0.011747032887511666,0.013387526111102166,1.0,-0.06766588617465116,-0.04872026436679175,0.07052565490065488,0.01981287800251974,0.04530875143156865,1,Kyle Edmund,Daniil Medvedev
1148,-23.0,697.0,-0.013903887892632971,-0.04732280478057138,-0.06747405119095268,-0.053615810199430736,0.0487040819399891,0.031946219872939,1.0,-0.23446158492104144,0.05669418836474388,-0.051526251526251454,0.011952041106443823,-0.004911728259441639,0,Hyeon Chung,Robin Haase
1149,-23.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Roberto Carballes Baena,Mikhail Kukushkin
1150,-18.0,380.0,-0.04750171568863881,0.09924530751161653,0.08037273576855675,0.0681384377662666,0.03750119702822141,-0.003330630551136138,-1.0,0.11691147848820552,-0.030394167161586466,0.10386048650229329,0.043700943429338224,0.10563963479448801,1,Philipp Kohlschreiber,Yuichi Sugita
1151,-39.0,1198.0,0.0774857198999711,-0.01255380149996732,0.07078825808461159,0.0322151284959622,0.06239006402259123,0.01948996622469379,-1.0,-0.16135554838411637,-0.07243764586801368,0.020330427148608998,0.047820259696421646,0.09460519251855343,1,Roberto Bautista Agut,Jared Donaldson
1152,-12.0,630.0,-0.013738372447885339,0.05553137494989957,0.034347710535328146,0.04400266505011663,-0.035862696669229366,0.0024532462362657492,1.0,0.1456660660481576,-0.02240164850570677,0.20451599326599323,-0.010032604737134299,0.008139968380887264,0,Tomas Berdych,Richard Gasquet
