,tourney_id,tourney_name,round,winner_id,winner_name,loser_id,loser_name,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace,l_ace,w_df,l_df,w_svpt,w_1stWon,w_1stIn,l_svpt,l_1stWon,l_1stIn,w_2ndWon,l_2ndWon,w_ret_w,w_ret_tot,l_ret_w,l_ret_tot,WRP,WRP2
1947,2017-6242,Winston-Salem,R16,111202,Hyeon Chung,103898,Julien Benneteau,49.0,955.0,107.0,525.0,3.0,1.0,0.0,2.0,38.0,18.0,23.0,33.0,11.0,18.0,8.0,11.0,11,33,12,38,0.09410655352318997,0.09410655352318997
1948,2017-6242,Winston-Salem,R32,105138,Roberto Bautista Agut,105583,Dusan Lajovic,15.0,2425.0,84.0,637.0,1.0,1.0,4.0,2.0,55.0,22.0,34.0,44.0,11.0,22.0,13.0,10.0,23,44,20,55,0.09349577594222608,0.09349577594222608
1949,2017-6242,Winston-Salem,R32,104571,Marcos Baghdatis,106210,Jiri Vesely,82.0,645.0,55.0,885.0,4.0,4.0,4.0,6.0,67.0,22.0,25.0,60.0,25.0,32.0,24.0,9.0,26,60,21,67,-0.0031904822854598724,-0.0031904822854598724
1950,2017-6242,Winston-Salem,R32,126203,Taylor Harry Fritz,105216,Yuichi Sugita,116.0,484.0,43.0,1045.0,12.0,1.0,2.0,4.0,48.0,18.0,22.0,59.0,17.0,33.0,18.0,14.0,28,59,12,48,-0.05678166358206699,-0.05678166358206699
1951,2017-6242,Winston-Salem,R32,103893,Paolo Lorenzi,106329,Thiago Monteiro,40.0,1100.0,114.0,491.0,8.0,4.0,5.0,4.0,94.0,37.0,52.0,83.0,29.0,42.0,20.0,25.0,29,83,37,94,0.12388348751692208,0.12388348751692208
1952,2017-6242,Winston-Salem,R32,104545,John Isner,105723,Andrey Kuznetsov,14.0,2425.0,70.0,721.0,13.0,10.0,5.0,0.0,82.0,40.0,52.0,80.0,37.0,48.0,17.0,20.0,23,80,25,82,-0.09713730262885645,-0.09713730262885645
1953,2017-6242,Winston-Salem,R32,106432,Borna Coric,105385,Donald Young,62.0,751.0,57.0,830.0,7.0,4.0,5.0,4.0,84.0,39.0,49.0,78.0,31.0,42.0,17.0,18.0,29,78,28,84,0.07497182776786904,0.07497182776786904
1954,2017-6242,Winston-Salem,R32,104312,Andreas Seppi,105379,Aljaz Bedene,86.0,626.0,48.0,958.0,6.0,6.0,5.0,3.0,96.0,31.0,48.0,67.0,25.0,34.0,24.0,12.0,30,67,41,96,0.053150978993057596,0.053150978993057596
1955,2017-6242,Winston-Salem,R32,105526,Jan Lennard Struff,104655,Pablo Cuevas,56.0,883.0,31.0,1380.0,13.0,3.0,2.0,4.0,72.0,30.0,38.0,81.0,33.0,41.0,24.0,20.0,28,81,18,72,-0.047670320180226655,-0.047670320180226655
1956,2017-6242,Winston-Salem,R32,105449,Steve Johnson,104229,Yen Hsun Lu,46.0,1000.0,61.0,790.0,11.0,4.0,2.0,5.0,72.0,28.0,42.0,53.0,22.0,34.0,18.0,9.0,22,53,26,72,-0.05654042948674892,-0.05654042948674892
1957,2017-6242,Winston-Salem,R32,104122,Carlos Berlocq,104678,Viktor Troicki,96.0,561.0,47.0,965.0,3.0,8.0,6.0,8.0,85.0,35.0,51.0,83.0,26.0,44.0,16.0,17.0,40,83,34,85,0.0062031487906597516,0.0062031487906597516
1958,2017-6242,Winston-Salem,R32,106378,Kyle Edmund,106421,Daniil Medvedev,45.0,1007.0,53.0,889.0,4.0,10.0,3.0,13.0,96.0,38.0,57.0,94.0,44.0,61.0,20.0,15.0,35,94,38,96,0.011747032887511777,0.011747032887511777
1959,2017-6242,Winston-Salem,R32,105916,Marton Fucsovics,105311,Joao Sousa,122.0,458.0,50.0,950.0,6.0,1.0,3.0,7.0,73.0,30.0,40.0,72.0,23.0,34.0,20.0,20.0,29,72,23,73,0.04989457844933931,0.04989457844933931
1960,2017-6242,Winston-Salem,R32,104547,Horacio Zeballos,104269,Fernando Verdasco,58.0,821.0,42.0,1080.0,1.0,5.0,7.0,4.0,90.0,37.0,49.0,82.0,32.0,45.0,17.0,20.0,30,82,36,90,-0.07893364997186875,-0.07893364997186875
1961,2017-6242,Winston-Salem,R32,106000,Damir Dzumhur,104468,Gilles Simon,67.0,725.0,39.0,1110.0,2.0,4.0,4.0,4.0,93.0,31.0,53.0,84.0,26.0,39.0,20.0,22.0,36,84,42,93,0.013781091612183993,0.013781091612183993
1962,2017-6242,Winston-Salem,R32,111202,Hyeon Chung,126094,Andrey Rublev,49.0,955.0,54.0,888.0,2.0,8.0,5.0,6.0,76.0,33.0,40.0,86.0,28.0,49.0,18.0,17.0,41,86,25,76,0.02048387450757072,0.02048387450757072
1963,2017-6242,Winston-Salem,R32,103898,Julien Benneteau,105807,Pablo Carreno Busta,107.0,525.0,16.0,2385.0,13.0,8.0,8.0,0.0,109.0,44.0,56.0,123.0,44.0,78.0,26.0,29.0,50,123,39,109,-0.07336284455052605,-0.07336284455052605
